	5_gain_event	5_loss_event	8_gain_event	8_loss_event	13_loss_event	20_gain_event
CPT000814	False	True	True	True	False	False
CPT001846	True	False	False	False	False	True
X01BR001	True	True	True	True	False	False
X01BR008	False	False	True	False	False	False
X01BR009	False	False	True	False	False	True
X01BR010	False	False	True	False	False	True
X01BR015	False	False	True	True	False	False
X01BR017	False	False	False	False	False	False
X01BR018	False	False	False	True	False	False
X01BR020	False	True	True	True	False	True
X01BR023	False	False	True	True	True	False
X01BR025	False	False	True	False	True	True
X01BR026	False	True	True	True	True	False
X01BR027	False	True	True	True	True	False
X01BR030	False	False	True	True	False	False
X01BR031	True	False	True	False	False	False
X01BR032	False	False	False	False	True	False
X01BR033	False	False	False	True	False	False
X01BR040	False	False	True	False	False	True
X01BR042	False	False	True	False	False	False
X01BR043	True	False	False	True	False	False
X03BR002	False	False	True	True	True	True
X03BR004	False	False	True	True	False	True
X03BR005	False	False	True	True	False	False
X03BR006	False	False	True	False	False	False
X03BR010	False	False	False	False	False	False
X03BR011	False	False	False	True	True	False
X03BR013	False	False	False	True	False	False
X05BR001	True	False	True	False	False	False
X05BR003	False	False	False	True	False	False
X05BR004	False	False	False	False	False	False
X05BR005	False	False	True	False	False	False
X05BR009	False	False	False	False	False	True
X05BR016	True	False	False	False	False	False
X05BR026	False	False	False	False	False	False
X05BR029	False	True	True	True	False	False
X05BR038	False	False	False	False	False	False
X05BR042	False	True	True	False	False	False
X05BR043	False	True	True	False	True	False
X05BR044	False	False	False	False	False	False
X05BR045	False	False	True	False	True	False
X06BR003	False	False	True	False	True	False
X06BR005	True	False	True	True	True	True
X06BR006	False	False	True	False	False	False
X06BR014	False	False	False	True	False	False
X09BR001	True	False	False	True	True	False
X09BR004	True	False	True	True	True	True
X09BR005	False	False	False	False	False	False
X09BR007	False	False	False	True	False	True
X11BR003	False	False	True	False	False	False
X11BR004	True	False	True	True	False	False
X11BR006	False	False	True	True	False	False
X11BR009	False	False	False	False	False	False
X11BR010	False	False	False	False	True	False
X11BR011	False	False	False	True	False	False
X11BR012	False	False	False	True	False	False
X11BR013	False	False	True	False	True	True
X11BR014	False	False	False	False	False	False
X11BR015	False	False	True	True	False	False
X11BR016	False	True	False	True	True	False
X11BR017	False	False	False	True	False	False
X11BR018	False	False	False	True	False	False
X11BR019	False	False	False	True	False	False
X11BR020	False	False	False	True	False	False
X11BR022	False	False	False	False	False	False
X11BR023	False	True	True	False	False	False
X11BR024	True	True	True	True	False	False
X11BR025	True	False	True	False	True	True
X11BR027	False	False	False	True	True	False
X11BR028	False	True	True	True	True	False
X11BR030	False	False	True	False	False	False
X11BR031	False	False	False	True	True	True
X11BR032	False	False	False	False	True	False
X11BR036	False	False	True	False	False	True
X11BR038	False	False	False	True	False	False
X11BR040	False	False	False	False	False	False
X11BR042	False	False	False	False	False	True
X11BR043	True	False	True	True	False	False
X11BR044	True	False	True	True	False	True
X11BR047	False	False	False	True	False	False
X11BR049	False	False	True	True	False	False
X11BR050	False	False	False	False	False	False
X11BR051	False	False	True	False	True	False
X11BR053	True	False	True	False	True	True
X11BR054	False	False	False	False	False	False
X11BR055	True	False	False	False	False	True
X11BR056	False	False	True	True	False	False
X11BR058	False	True	False	True	False	False
X11BR059	False	False	False	True	True	False
X11BR060	True	True	False	False	False	True
X11BR072	False	False	False	False	False	False
X11BR073	False	False	True	True	False	False
X11BR074	False	False	False	False	False	False
X11BR075	False	False	True	True	True	False
X11BR080	True	False	True	False	False	False
X13BR009	True	False	True	False	False	True
X14BR005	False	False	False	True	False	False
X14BR008	False	False	False	False	False	False
X14BR014	False	False	True	True	False	False
X15BR003	False	False	False	False	False	False
X16BR012	False	False	False	True	True	False
X18BR002	False	False	False	False	False	False
X18BR003	False	False	False	False	False	False
X18BR004	False	False	False	False	False	False
X18BR006	False	False	True	True	True	True
X18BR007	True	False	True	True	False	True
X18BR009	False	False	False	False	False	False
X18BR010	False	False	True	True	False	True
X18BR016	False	False	False	False	False	False
X18BR017	False	False	False	False	True	False
X18BR019	False	False	False	False	False	False
X20BR001	False	False	False	False	False	False
X20BR002	False	True	False	True	True	False
X20BR005	True	True	False	False	True	False
X20BR006	True	False	True	False	False	False
X20BR007	False	True	False	True	False	False
X20BR008	False	False	False	True	False	False
X21BR001	False	False	False	False	True	False
X21BR002	True	False	False	False	False	False
X21BR010	True	False	False	False	False	False
X22BR005	False	False	False	False	True	False
X22BR006	False	False	True	False	False	False
