	5_gain_event	5_loss_event	8_gain_event	8_loss_event	13_loss_event	20_gain_event
01CO001	False	False	False	True	False	False
01CO005	False	False	True	True	False	False
01CO006	False	False	False	False	False	False
01CO008	True	False	True	False	False	True
01CO013	False	False	True	True	False	True
01CO014	False	False	False	False	False	False
01CO015	False	False	True	False	False	True
01CO019	False	False	True	False	False	True
01CO022	False	False	False	False	False	False
05CO002	True	False	True	False	False	False
05CO003	False	False	False	False	False	False
05CO005	False	False	False	True	False	True
05CO006	False	False	True	False	False	False
05CO007	False	False	True	False	False	False
05CO011	True	False	True	True	False	True
05CO014	False	False	False	True	False	True
05CO015	False	False	False	False	False	True
05CO020	False	False	False	False	False	False
05CO026	False	False	False	True	False	True
05CO028	False	False	True	False	False	False
05CO029	False	False	False	False	False	True
05CO032	False	False	False	False	False	False
05CO033	False	False	False	True	False	False
05CO034	False	True	True	False	False	True
05CO035	False	False	True	False	False	True
05CO037	False	False	False	False	False	False
05CO039	False	False	True	False	False	False
05CO041	False	False	True	False	False	False
05CO044	False	False	False	False	False	False
05CO047	False	False	False	True	False	True
05CO048	True	False	True	False	False	True
05CO049	False	False	False	False	False	True
05CO050	False	False	False	False	False	False
05CO053	False	False	False	False	False	False
05CO054	False	False	False	False	False	True
05CO055	False	False	True	True	False	True
06CO001	False	False	True	True	False	False
06CO002	False	True	False	False	False	False
09CO005	False	False	False	False	False	True
09CO006	False	False	False	False	False	True
09CO008	False	False	True	True	False	False
09CO011	False	False	False	False	False	True
09CO013	False	True	False	False	False	True
09CO014	False	False	False	False	False	True
09CO015	False	False	True	True	False	True
09CO018	False	False	False	True	False	False
09CO019	False	False	False	False	False	False
09CO022	False	False	True	False	False	False
11CO005	False	False	False	False	False	False
11CO007	False	False	False	False	False	False
11CO008	False	False	False	True	False	True
11CO010	False	False	True	False	False	False
11CO018	False	False	False	False	False	False
11CO019	False	False	False	False	False	False
11CO020	True	False	True	True	False	False
11CO021	False	False	False	True	False	False
11CO022	False	True	True	False	False	False
11CO027	True	False	True	False	False	True
11CO030	False	False	True	False	False	False
11CO031	False	False	False	False	False	False
11CO032	False	False	False	True	False	False
11CO033	False	False	False	False	False	False
11CO036	False	False	False	True	False	False
11CO037	False	False	True	True	False	True
11CO039	False	True	True	True	False	True
11CO042	False	False	True	True	False	False
11CO043	True	True	False	True	False	True
11CO044	False	False	True	True	False	True
11CO045	False	False	False	True	False	True
11CO047	False	False	True	False	False	True
11CO048	True	False	False	True	False	True
11CO051	False	False	False	False	False	False
11CO052	False	False	False	False	False	True
11CO053	False	False	True	True	False	False
11CO054	True	False	True	False	False	False
11CO057	False	False	True	False	False	True
11CO058	False	False	False	False	False	True
11CO059	False	False	False	False	False	False
11CO060	True	True	True	True	False	False
11CO061	False	False	False	False	False	False
11CO062	False	False	False	False	False	False
11CO070	False	False	False	False	False	False
11CO072	False	False	True	True	False	False
11CO077	False	False	False	False	False	False
11CO079	False	False	False	False	False	False
14CO002	False	False	True	False	False	False
14CO003	False	False	False	False	False	False
14CO005	False	False	True	True	False	True
15CO001	False	True	False	False	False	False
15CO002	True	True	True	True	False	False
16CO002	False	False	True	False	False	True
16CO003	False	False	True	True	False	True
16CO006	False	False	False	False	False	False
16CO011	False	False	False	True	False	True
16CO012	True	False	True	False	False	False
20CO001	False	True	False	True	False	False
20CO003	False	False	False	False	False	False
20CO004	False	False	True	True	False	False
20CO007	True	False	False	False	False	False
21CO006	False	False	True	True	False	False
21CO007	True	False	True	True	False	True
22CO004	False	False	True	True	False	True
22CO006	False	False	False	False	False	False
24CO005	False	False	True	False	False	True
27CO004	False	False	True	True	False	False
